Symbol,Name,Price,Change,Change %,50 Day Avg,200 Day Avg,3 Month Return,YTD Return,52 Wk Change %,52 Wk Range
FTPAX,First Trust Private Assets Fund,11.51+0.89(+8.38%),+0.89,+8.38%,10.82,10.82,--,--,+11.53%,
0P0001T9Z1,CSOP Ether ETF Unlisted Share C,6.23+0.28(+4.67%),+0.28,+4.67%,4.70,6.65,-43.65%,-48.37%,-31.09%,
GRHIX,Goehring & Rozencwajg Resources Instl,14.13+0.52(+3.82%),+0.52,+3.82%,12.87,13.11,-2.39%,+0.80%,-5.61%,
GRHAX,Goehring & Rozencwajg Resources Retail,13.93+0.50(+3.72%),+0.50,+3.72%,12.70,12.94,-2.50%,+0.64%,-5.81%,
PMPIX,ProFunds Precious Metals UltraSector Inv,78.73+2.70(+3.55%),+2.70,+3.55%,73.49,61.20,+38.01%,+69.71%,+49.99%,
PMPSX,ProFunds Precious Metals UltraSector Svc,65.45+2.24(+3.54%),+2.24,+3.54%,61.14,50.85,+37.69%,+69.16%,+49.87%,
0P00011WC1,Kieger Fd I Global Real Assets AP1 USD,473.39+15.98(+3.49%),+15.98,+3.49%,443.90,439.78,+11.75%,+11.24%,+13.13%,
OCMAX,OCM Gold Atlas,21.43+0.59(+2.83%),+0.59,+2.83%,19.48,16.82,+28.42%,+46.77%,+51.99%,
FGPMX,Franklin Gold and Precious Metals R6,31.00+0.85(+2.82%),+0.85,+2.82%,28.19,24.48,+31.29%,+50.99%,+41.68%,
OCMGX,OCM Gold Investor,18.62+0.51(+2.82%),+0.51,+2.82%,16.93,14.64,+28.22%,+46.46%,+51.14%,
FKRCX,Franklin Gold and Precious Metals A,27.75+0.76(+2.82%),+0.76,+2.82%,25.25,22.04,+31.18%,+50.87%,+39.94%,
FRGOX,Franklin Gold and Precious Metals C,23.86+0.65(+2.80%),+0.65,+2.80%,21.72,19.10,+30.92%,+50.44%,+37.44%,
FGADX,Franklin Gold and Precious Metals Adv,30.48+0.83(+2.80%),+0.83,+2.80%,27.73,24.09,+31.25%,+51.00%,+41.37%,
GOLDX,Gabelli Gold AAA,30.55+0.83(+2.79%),+0.83,+2.79%,27.96,23.91,+28.16%,+44.42%,+50.27%,
INIIX,VanEck International Investors Gold I,22.47+0.61(+2.79%),+0.61,+2.79%,20.71,17.78,+28.99%,+46.40%,+46.29%,
GLDAX,Gabelli Gold A,30.60+0.83(+2.79%),+0.83,+2.79%,28.01,23.95,+28.15%,+44.46%,+50.29%,
GLDIX,Gabelli Gold I,31.34+0.85(+2.79%),+0.85,+2.79%,28.68,24.53,+28.28%,+44.54%,+50.31%,
GLDCX,Gabelli Gold C,27.37+0.74(+2.78%),+0.74,+2.78%,25.07,21.43,+27.98%,+44.07%,+49.97%,
IIGCX,VanEck International Investors Gold C,12.66+0.34(+2.76%),+0.34,+2.76%,11.68,10.19,+28.65%,+45.92%,+40.67%,
INIYX,VanEck International Investors Gold Y,16.44+0.44(+2.75%),+0.44,+2.75%,15.16,13.13,+28.98%,+46.43%,+43.46%,
INIVX,VanEck International Investors Gold A,15.83+0.42(+2.73%),+0.42,+2.73%,14.60,12.65,+28.79%,+46.25%,+43.13%,
UIPMX,Victory Precious Metals and Minerals Fund,29.63+0.78(+2.70%),+0.78,+2.70%,27.49,23.21,+29.21%,+48.52%,+49.87%,
UPMMX,Victory Precious Metals and Minerals Fund,28.51+0.75(+2.70%),+0.75,+2.70%,26.46,22.36,+29.11%,+48.38%,+49.42%,
USAGX,Victory Precious Metals and Minerals Fund,28.95+0.76(+2.70%),+0.76,+2.70%,26.82,22.66,+29.21%,+48.49%,+49.69%,
EKWYX,Allspring Precious Metals Fund,87.03+2.28(+2.69%),+2.28,+2.69%,80.06,67.36,+29.01%,+46.56%,+58.44%,
EKWAX,Allspring Precious Metals Fund,85.17+2.23(+2.69%),+2.23,+2.69%,78.37,65.90,+28.92%,+46.43%,+58.43%,
EKWDX,Allspring Precious Metals Fund,86.13+2.25(+2.68%),+2.25,+2.68%,79.25,66.63,+28.97%,+46.48%,+58.53%,
EKWCX,Allspring Precious Metals Fund,74.29+1.94(+2.68%),+1.94,+2.68%,68.41,57.46,+28.68%,+46.05%,+58.40%,
UNWPX,U.S. Global Investors World Precious Minerals Fund,1.9400+0.0500(+2.65%),+0.0500,+2.65%,1.84,1.65,+16.88%,+26.35%,+20.50%,
USERX,U.S. Global Investors Gold & Precious Metals Fund,16.98+0.43(+2.60%),+0.43,+2.60%,15.51,13.52,+24.45%,+40.42%,+42.69%,
FIJDX,Fidelity Advisor Gold Z,36.95+0.92(+2.55%),+0.92,+2.55%,34.41,29.52,+29.45%,+46.47%,+44.45%,
FGDTX,Fidelity Advisor Gold M,34.60+0.86(+2.55%),+0.86,+2.55%,32.24,27.68,+29.20%,+46.13%,+43.87%,
IOGYX,Invesco Gold & Special Minerals R5,37.03+0.92(+2.55%),+0.92,+2.55%,33.91,29.86,+21.71%,+34.72%,+40.64%,
FGDAX,Fidelity Advisor Gold A,35.54+0.88(+2.54%),+0.88,+2.54%,33.12,28.43,+29.31%,+46.25%,+44.00%,
AGGWX,American Century Global Gold R,17.81+0.44(+2.53%),+0.44,+2.53%,16.50,13.99,+27.97%,+46.49%,+46.22%,
FSAGX,Fidelity Select Gold,36.85+0.91(+2.53%),+0.91,+2.53%,34.32,29.45,+29.41%,+46.42%,+44.28%,
AGYCX,American Century Global Gold C,17.01+0.42(+2.53%),+0.42,+2.53%,15.77,13.38,+27.83%,+46.24%,+46.01%,
FGDIX,Fidelity Advisor Gold I,36.86+0.91(+2.53%),+0.91,+2.53%,34.34,29.46,+29.39%,+46.44%,+44.32%,
OGMNX,Invesco Gold & Special Minerals R,34.84+0.86(+2.53%),+0.86,+2.53%,31.92,28.11,+21.58%,+34.57%,+40.26%,
OPGSX,Invesco Gold & Special Minerals A,36.90+0.91(+2.53%),+0.91,+2.53%,33.81,29.77,+21.61%,+34.59%,+40.46%,
FGDCX,Fidelity Advisor Gold C,32.45+0.80(+2.53%),+0.80,+2.53%,30.26,25.95,+29.10%,+45.91%,+43.97%,
MIDSX,Midas Discovery,2.0300+0.0500(+2.53%),+0.0500,+2.53%,1.80,1.45,+36.23%,+59.32%,+67.77%,
OGMIX,Invesco Gold & Special Minerals R6,37.38+0.92(+2.52%),+0.92,+2.52%,34.23,30.14,+21.71%,+34.75%,+40.63%,
OGMYX,Invesco Gold & Special Minerals Y,37.00+0.91(+2.52%),+0.91,+2.52%,33.89,29.83,+21.68%,+34.69%,+40.63%,
OGMCX,Invesco Gold & Special Minerals C,32.58+0.80(+2.52%),+0.80,+2.52%,29.87,26.34,+21.40%,+34.27%,+39.65%,
AGGNX,American Century Global Gold I,18.75+0.46(+2.52%),+0.46,+2.52%,17.37,14.72,+28.28%,+46.90%,+46.26%,
ACGGX,American Century Global Gold A,18.05+0.44(+2.50%),+0.44,+2.50%,16.73,14.18,+28.06%,+46.58%,+46.15%,
BGEIX,American Century Global Gold Fund,18.50+0.45(+2.49%),+0.45,+2.49%,17.14,14.53,+28.19%,+46.82%,+46.25%,
0P00017HXX,Kieger Fd I Healthcare Blue Chip A1 USD,207.32+4.94(+2.44%),+4.94,+2.44%,217.64,217.74,-3.17%,+4.29%,-2.68%,
BGALX,Baillie Gifford Global Alpha Equities Fund,16.65+0.39(+2.40%),+0.39,+2.40%,16.57,18.33,-3.84%,-3.84%,-10.19%,
0P0001SUBL,"US Next Technology Fund A"",",236.22+5.48(+2.37%),+5.48,+2.37%,209.75,221.46,-13.05%,-11.11%,+4.64%,
0P0001SUBK,"US Next Technology Fund G"",",359.18+8.33(+2.37%),+8.33,+2.37%,318.94,338.18,-13.52%,-11.62%,+4.58%,
0P0001NY2U,Fidelity Advantage Bitcoin ETF - F,14.53+0.33(+2.36%),+0.33,+2.36%,11.84,10.81,--,--,+59.46%,
0P0001NY2W,Fidelity Advantage Bitcoin ETF - B,14.24+0.33(+2.36%),+0.33,+2.36%,11.61,10.62,--,--,+58.58%,
0P0001NY2V,Fidelity Advantage Bitcoin ETF - O,14.57+0.34(+2.35%),+0.34,+2.35%,11.87,10.82,--,--,+59.60%,
SGDIX,Sprott Gold Equity Institutional,75.36+1.73(+2.35%),+1.73,+2.35%,68.64,59.72,+21.91%,+35.78%,+47.39%,
0P0001NOFB,Purpose Bitcoin ETF Non-Hedged Cl I,15.44+0.35(+2.35%),+0.35,+2.35%,12.58,11.57,--,--,+60.34%,
0P0001NOFA,Purpose Bitcoin ETF Non-Hedged Cl F,14.82+0.34(+2.35%),+0.34,+2.35%,12.09,11.15,--,--,+58.72%,
0P0001NOF9,Purpose Bitcoin ETF Non-Hedged Cl A,14.23+0.33(+2.34%),+0.33,+2.34%,11.61,10.74,--,--,+57.01%,
SGDLX,Sprott Gold Equity Investor,74.36+1.70(+2.34%),+1.70,+2.34%,67.75,58.99,+21.82%,+35.63%,+46.96%,
RYPMX,Rydex Precious Metals Inv,157.59+3.52(+2.28%),+3.52,+2.28%,148.71,132.32,+21.79%,+36.89%,+28.66%,
0P00011WBK,Kieger Fd I Global Commodities AP1 USD,118.38+2.64(+2.28%),+2.64,+2.28%,106.59,104.29,+6.56%,+16.10%,+22.18%,
RYMPX,Rydex Precious Metals H,139.92+3.12(+2.28%),+3.12,+2.28%,132.04,117.60,+21.69%,+36.78%,+28.34%,
RYMNX,Rydex Precious Metals A,145.84+3.25(+2.28%),+3.25,+2.28%,137.62,122.57,+21.72%,+36.79%,+28.34%,
0P0001T9Z0,CSOP Bitcoin ETF Unlisted Share,14.77+0.33(+2.28%),+0.33,+2.28%,12.13,11.39,-9.16%,-2.40%,+63.90%,
RYZCX,Rydex Precious Metals C,112.77+2.51(+2.28%),+2.51,+2.28%,106.50,95.06,+21.50%,+36.44%,+27.38%,
VYSCX,Voya Small Company P3,13.08+0.29(+2.27%),+0.29,+2.27%,13.08,13.08,-7.82%,-16.79%,0.00%,
FEGOX,First Eagle Gold C,32.58+0.72(+2.26%),+0.72,+2.26%,30.76,27.15,+23.96%,+39.34%,+34.07%,
FEGIX,First Eagle Gold I,37.58+0.83(+2.26%),+0.83,+2.26%,35.45,31.23,+24.22%,+39.77%,+35.08%,
SGGDX,First Eagle Gold A,36.26+0.80(+2.26%),+0.80,+2.26%,34.21,30.15,+24.13%,+39.68%,+34.85%,
FEURX,First Eagle Gold R6,37.69+0.83(+2.25%),+0.83,+2.25%,35.56,31.32,+24.26%,+39.82%,+35.09%,
EPGIX,EuroPac Gold Fund,12.81+0.28(+2.23%),+0.28,+2.23%,12.10,11.16,+23.66%,+35.88%,+15.41%,
EPGFX,EuroPac Gold Fund,12.67+0.27(+2.18%),+0.27,+2.18%,11.97,11.05,+23.49%,+35.68%,+15.29%,
QGLDX,Gold Bullion Strategy Investor,25.74+0.54(+2.14%),+0.54,+2.14%,24.59,24.55,+16.60%,+24.13%,+7.74%,
0P0000YUAL,Gold Bullion Strategy,33.59+0.70(+2.13%),+0.70,+2.13%,32.01,28.93,+16.53%,+24.06%,+30.14%,
QGLCX,Gold Bullion Strategy Advisor,25.03+0.52(+2.12%),+0.52,+2.12%,23.92,23.94,+16.40%,+23.82%,+7.24%,
0P0001M32M,CI Bitcoin Series F,18.07+0.37(+2.08%),+0.37,+2.08%,14.74,13.57,--,--,+59.30%,
PSPFX,US Global Investors Global Res,4.0300+0.0800(+2.03%),+0.0800,+2.03%,3.76,3.89,+1.61%,+3.28%,-2.89%,
MOWNX,Moerus Worldwide Value N,18.27+0.36(+2.01%),+0.36,+2.01%,16.91,16.90,-0.30%,+3.45%,+10.06%,
0P0001JA5V,Multipartner Tata India Equity D USD Acc,229.24+4.51(+2.01%),+4.51,+2.01%,220.14,230.08,+4.76%,-0.90%,+1.51%,
0P0001J2MW,Multipartner Tata India Equity C USD Acc,225.75+4.44(+2.01%),+4.44,+2.01%,216.90,227.06,+4.63%,-1.07%,+1.02%,
MOWIX,Moerus Worldwide Value Institutional,18.33+0.36(+2.00%),+0.36,+2.00%,16.96,16.94,-0.24%,+3.56%,+10.16%,
0P0001P1R7,Multipartner Tata India Equity R USD Acc,136.46+2.68(+2.00%),+2.68,+2.00%,130.98,136.69,+4.88%,-0.75%,+1.97%,
0P0001J2MV,Multipartner Tata India Equity B USD Acc,221.61+4.35(+2.00%),+4.35,+2.00%,213.05,223.42,+4.50%,-1.24%,+0.48%,
RYVTX,Rydex Inverse NASDAQ-100 2x Strategy A,119.31+2.30(+1.97%),+2.30,+1.97%,141.37,141.24,+10.40%,+5.70%,-29.57%,
RYVNX,Rydex Inverse NASDAQ-100 2x Strategy H,119.40+2.30(+1.96%),+2.30,+1.96%,141.45,141.29,+10.48%,+5.94%,-29.64%,
RYCDX,Rydex Inverse NASDAQ-100 2x Strategy C,97.72+1.88(+1.96%),+1.88,+1.96%,115.86,116.80,+10.23%,+5.45%,-31.09%,
0P000198KS,Aditya BSL India Qul Adv D$Acc,291.05+5.58(+1.96%),+5.58,+1.96%,263.59,294.13,+1.51%,-10.51%,+3.27%,
0P0001OUSR,Aditya BSL India Quality Advant,114.02+2.19(+1.95%),+2.19,+1.95%,102.82,115.43,+1.48%,-10.55%,+2.94%,
0P0001BRS2,Aditya BSL India Qul Adv A$Acc,195.12+3.74(+1.95%),+3.74,+1.95%,176.09,198.08,+1.32%,-10.73%,+2.50%,
0P0001OTZD,Aditya BSL India Qul Adv B$Acc,202.24+3.87(+1.95%),+3.87,+1.95%,183.47,205.83,+1.14%,-10.96%,+1.79%,
0P0001CLPO,Orbis SICAV Intl Eq Inv,24.07+0.46(+1.95%),+0.46,+1.95%,21.13,20.82,+12.26%,+17.76%,+23.82%,
DTMGX,"BNY Mellon Investment Funds IV, Inc. - BNY Mellon Concentrated Growth ETF",30.91+0.59(+1.95%),+0.59,+1.95%,33.04,38.79,--,--,-19.69%,
MIDNX,Matthews India Instl,25.73+0.49(+1.94%),+0.49,+1.94%,24.76,27.70,+3.43%,-2.39%,-10.72%,
DPTAX,"BNY Mellon Investment Funds IV, Inc. - BNY Mellon Concentrated Growth ETF",26.37+0.50(+1.93%),+0.50,+1.93%,28.44,34.13,--,--,-23.10%,
USPSX,ProFunds UltraShort NASDAQ-100 Fund,21.65+0.41(+1.93%),+0.41,+1.93%,25.66,25.64,+10.22%,+5.49%,-29.59%,
MINDX,Matthews India Investor,25.10+0.47(+1.91%),+0.47,+1.91%,24.16,27.06,+3.39%,-2.45%,-11.02%,
USPIX,ProFunds UltraShort NASDAQ-100 Fund,23.31+0.43(+1.88%),+0.43,+1.88%,27.61,27.61,+10.47%,+5.74%,-29.47%,
0P0001O3TB,--,16.50+0.30(+1.85%),+0.30,+1.85%,15.60,14.38,+14.29%,+22.65%,+21.41%,
0P0001Q4ZF,Z22 SICAV - Z22 Smart Equity Fund USD I,133.17+2.42(+1.85%),+2.42,+1.85%,130.57,129.37,-7.95%,-6.95%,+9.53%,
0P0001O3TA,--,16.66+0.30(+1.83%),+0.30,+1.83%,15.75,14.52,+14.37%,+22.84%,+21.61%,
0P0001Q4ZG,Z22 SICAV - Z22 Smart Equity Fund USD R,129.97+2.33(+1.83%),+2.33,+1.83%,127.96,126.91,-8.19%,-7.27%,+8.47%,
AIWEX,Cavanal Hill World Energy Institutional,15.16+0.26(+1.74%),+0.26,+1.74%,14.15,14.34,-8.88%,-5.17%,+6.84%,
0P0000UR81,--,12.25+0.21(+1.73%),+0.21,+1.73%,11.93,12.21,--,--,-9.89%,
0P0000UR80,Dynamic Strategic Resource Class A,10.79+0.18(+1.73%),+0.18,+1.73%,10.53,10.81,--,--,-10.95%,
0P0001HNQ4,AIA India Equity I USD,20.60+0.35(+1.72%),+0.35,+1.72%,19.69,20.52,+3.63%,+1.11%,+0.80%,
PNRZX,PGIM Jennison Natural Resources Z,56.21+0.95(+1.72%),+0.95,+1.72%,53.19,55.14,-4.28%,-1.93%,-9.37%,
VRSPX,Voya Russell Small Cap Index P2,13.61+0.23(+1.72%),+0.23,+1.72%,13.00,13.00,-11.10%,-19.33%,0.00%,
PGNAX,PGIM Jennison Natural Resources Fund,53.48+0.90(+1.71%),+0.90,+1.71%,50.62,52.47,-4.36%,-2.03%,-9.43%,
JNRRX,PGIM Jennison Natural Resources R,52.40+0.88(+1.71%),+0.88,+1.71%,49.61,51.42,-4.42%,-2.12%,-9.47%,
0P0001RCXF,JB Equity India K Acc USD,126.97+2.13(+1.71%),+2.13,+1.71%,120.64,123.69,+5.41%,+2.46%,+6.77%,
0P0001QYUV,JB Equity India I Acc USD,126.97+2.13(+1.71%),+2.13,+1.71%,120.64,123.69,+5.41%,+2.46%,+6.77%,
0P0001QYUY,JB Equity India I1 Acc USD,126.97+2.13(+1.71%),+2.13,+1.71%,120.64,123.69,+5.41%,+2.46%,+6.77%,
0P0001RDCI,JB Equity India K1 Acc USD,126.97+2.13(+1.71%),+2.13,+1.71%,120.10,123.78,+5.41%,+2.46%,+6.77%,
0P0001QYUZ,JB Equity India N Acc USD,126.74+2.13(+1.71%),+2.13,+1.71%,120.44,123.53,+5.38%,+2.42%,+6.66%,
0P0001RII1,JB Equity India N1 Acc USD,126.75+2.13(+1.71%),+2.13,+1.71%,120.44,123.53,+5.38%,+2.42%,+6.67%,
PNRCX,PGIM Jennison Natural Resources C,41.17+0.69(+1.70%),+0.69,+1.70%,39.00,40.47,-4.55%,-2.29%,-9.83%,
PJNQX,PGIM Jennison Natural Resources R6,56.70+0.95(+1.70%),+0.95,+1.70%,53.65,55.62,-4.26%,-1.89%,-9.37%,
0P0001QYUW,JB Equity India SA1 Acc USD,125.28+2.10(+1.70%),+2.10,+1.70%,119.14,122.49,+5.20%,+2.19%,+5.93%,
0P0001QYV1,JB Equity India A1 Acc USD,125.09+2.10(+1.70%),+2.10,+1.70%,118.97,122.35,+5.18%,+2.16%,+5.84%,
