Symbol,Name,Price,Change,Change %,50 Day Avg,200 Day Avg,3 Month Return,YTD Return,52 Wk Change %,52 Wk Range
GAUAX,Gabelli Utilities A,5.20+0.06(+1.17%),+0.06,+1.17%,5.21,5.43,+4.47%,+6.72%,-6.81%,
FIRCX,Fidelity Advisor Intl Real Estate C,9.54+0.11(+1.17%),+0.11,+1.17%,9.09,9.17,+7.36%,+9.38%,+1.06%,
0P0001FBJ4,Old Mutual African Frontiers E Acc,13.01+0.15(+1.17%),+0.15,+1.17%,11.71,11.39,+5.76%,+9.90%,+30.36%,
0P0000VO0V,Third Avenue Real Estate Value A4 USD,49.20+0.56(+1.16%),+0.56,+1.16%,48.12,48.64,-5.16%,-1.18%,+13.92%,
0P0001LAMF,Old Mutual African Frontiers G Acc,13.12+0.15(+1.16%),+0.15,+1.16%,11.79,11.46,+5.98%,+10.18%,+30.94%,
0P0000JS5U,GemCap Investment Funds (Ireland) plc - Third Avenue Real Estate Value Fund A1 USD Acc,70.82+0.81(+1.16%),+0.81,+1.16%,69.30,70.11,-5.24%,-1.29%,+13.75%,
0P0000XU1Q,JNL/Mellon Utilities Sector I,24.58+0.28(+1.15%),+0.28,+1.15%,23.46,22.94,+2.16%,+5.77%,+22.17%,
RAACX,Altegris/AACA Opportunistic Real Estt C,9.66+0.11(+1.15%),+0.11,+1.15%,9.86,11.88,-21.52%,-23.76%,-18.69%,
FKUQX,Franklin Utilities A,23.84+0.27(+1.15%),+0.27,+1.15%,23.22,23.59,+3.86%,+4.69%,+10.52%,
SOCUX,Spirit of America Utilities C,21.23+0.24(+1.14%),+0.24,+1.14%,20.78,20.72,+2.96%,+5.45%,+8.43%,
PGJZX,PGIM Jennison Global Infrastructure Fund,17.73+0.20(+1.14%),+0.20,+1.14%,16.92,16.82,+5.89%,+8.13%,+10.47%,
GMOWX,GMO Resources Fund,16.88+0.19(+1.14%),+0.19,+1.14%,16.49,18.79,-15.78%,-14.58%,-26.99%,
PRPZX,PGIM Jennison Energy Infrastructure Z,6.24+0.07(+1.13%),+0.07,+1.13%,6.24,7.49,-5.50%,-0.81%,-21.21%,
FIRAX,Fidelity Advisor Intl Real Estate A,9.81+0.11(+1.13%),+0.11,+1.13%,9.34,9.42,+7.51%,+9.60%,+1.03%,
RGIVX,ClearBridge Global Infrastructure Inc I,14.28+0.16(+1.13%),+0.16,+1.13%,13.65,13.17,+11.72%,+13.89%,+13.69%,
PCUFX,PGIM Jennison Utility Fund,15.20+0.17(+1.13%),+0.17,+1.13%,14.92,15.53,-0.70%,+1.58%,+3.40%,
DMCRX,Driehaus Micro Cap Growth Fund,12.55+0.14(+1.13%),+0.14,+1.13%,11.66,13.26,-15.56%,-16.83%,-3.39%,
FIRIX,Fidelity Advisor Intl Real Estate I,9.92+0.11(+1.12%),+0.11,+1.12%,9.45,9.52,+7.54%,+9.73%,+1.22%,
RAAAX,Altegris/AACA Opportunistic Real Estt A,9.92+0.11(+1.12%),+0.11,+1.12%,10.12,12.22,-21.38%,-23.57%,-18.76%,
PRUZX,PGIM Jennison Utility Z,15.48+0.17(+1.11%),+0.17,+1.11%,15.18,15.78,-0.38%,+2.01%,+3.68%,
PGJCX,PGIM Jennison Global Infrastructure Fund,17.31+0.19(+1.11%),+0.19,+1.11%,16.51,16.43,+5.60%,+7.69%,+10.33%,
JMVNX,JHFunds2 Mid Value NAV,14.63+0.16(+1.11%),+0.16,+1.11%,14.26,14.37,-12.33%,-8.93%,-5.25%,
RAAIX,Altegris/AACA Opportunistic Real Estt I,10.06+0.11(+1.11%),+0.11,+1.11%,10.26,12.41,-21.34%,-23.55%,-18.87%,
0P0001SAM2,Forge First Long Short Alt Fd Series F,13.85+0.15(+1.10%),+0.15,+1.10%,13.25,13.91,--,--,-0.24%,
GCEBX,Goldman Sachs Clean Energy Income A,9.21+0.10(+1.10%),+0.10,+1.10%,8.75,8.88,+10.66%,+9.84%,-3.76%,
DFITX,DFA International Real Estate Sec I,3.6900+0.0400(+1.10%),+0.0400,+1.10%,3.51,3.59,+7.46%,+10.77%,+2.22%,
GCEPX,Goldman Sachs Clean Energy Income P,9.23+0.10(+1.10%),+0.10,+1.10%,8.76,8.89,+10.64%,+9.83%,-3.75%,
0P0001DDED,Russell Investment Company plc - Old Mutual African Frontiers Fund,12.00+0.13(+1.10%),+0.13,+1.10%,10.78,10.47,+5.99%,+10.19%,+31.28%,
FCNSX,Fidelity Series Canada,17.54+0.19(+1.10%),+0.19,+1.10%,16.38,16.26,+4.55%,+6.95%,+14.94%,
0P0001QH0V,Mirae Asset Chindia Great Cnsmr Eq KUSD,10.17+0.11(+1.09%),+0.11,+1.09%,9.90,9.92,+3.80%,+1.86%,+2.94%,
0P0000HKW6,Polunin Funds - Emerging Markets Small Cap Fund A,"2,992.93+32.33(+1.09%)",+32.33,+1.09%,"2,821.93","2,821.93",+1.69%,+0.90%,+5.20%,
FCCNX,Fidelity Canada Fund,72.24+0.78(+1.09%),+0.78,+1.09%,67.71,68.49,+4.58%,+6.76%,+9.17%,
FICCX,Fidelity Advisor Canada I,73.20+0.79(+1.09%),+0.79,+1.09%,68.54,69.57,+4.85%,+7.12%,+8.73%,
SMLPX,Westwood Salient MLP & Engy Infras Inst,10.21+0.11(+1.09%),+0.11,+1.09%,10.22,10.15,-5.18%,-1.67%,+16.95%,
FICDX,Fidelity Canada,73.33+0.79(+1.09%),+0.79,+1.09%,68.66,69.61,+4.84%,+7.13%,+9.02%,
DRIOX,Driehaus International Small Cap Growth Fund,10.24+0.11(+1.09%),+0.11,+1.09%,9.37,9.32,+5.31%,+6.13%,+8.02%,
FTCNX,Fidelity Advisor Canada M,72.63+0.78(+1.09%),+0.78,+1.09%,68.04,68.94,+4.72%,+6.93%,+8.97%,
PGJAX,PGIM Jennison Global Infrastructure Fund,17.70+0.19(+1.09%),+0.19,+1.09%,16.89,16.80,+5.80%,+7.98%,+10.42%,
0P00015T1K,Morant Wright Japan B USD Inc UnHdg,53.15+0.57(+1.08%),+0.57,+1.08%,50.02,46.52,+10.41%,+13.25%,+24.59%,
PGJQX,PGIM Jennison Global Infrastructure Fund,17.72+0.19(+1.08%),+0.19,+1.08%,16.92,16.82,+5.83%,+8.07%,+10.40%,
VMEPX,Voya Multi-Manager Emerging Markets Eq P,9.33+0.10(+1.08%),+0.10,+1.08%,9.44,9.41,-0.64%,+3.78%,+1.63%,
FIQEX,Fidelity Advisor Canada Z,72.90+0.78(+1.08%),+0.78,+1.08%,68.26,69.30,+4.87%,+7.15%,+8.72%,
FACNX,Fidelity Advisor Canada A,72.98+0.78(+1.08%),+0.78,+1.08%,68.36,69.28,+4.77%,+7.03%,+8.99%,
0P00015T1J,Morant Wright Japan A USD Inc UnHdg,55.21+0.59(+1.08%),+0.59,+1.08%,51.97,48.28,+10.44%,+13.31%,+25.02%,
GOVIX,GMO Resources Fund,16.87+0.18(+1.08%),+0.18,+1.08%,16.49,18.79,-15.78%,-14.58%,-27.03%,
GRSIX,Brookfield Global Rnwbls & Sst Infrs I,10.32+0.11(+1.08%),+0.11,+1.08%,9.74,9.50,+10.79%,+13.03%,+11.33%,
GAAHX,GMO Resources R6,16.91+0.18(+1.08%),+0.18,+1.08%,16.53,18.83,-15.80%,-14.55%,-27.02%,
GEACX,GMO Resources I,16.94+0.18(+1.07%),+0.18,+1.07%,16.56,18.86,-15.81%,-14.57%,-26.95%,
GOFIX,GMO Resources III,16.94+0.18(+1.07%),+0.18,+1.07%,16.56,18.86,-15.82%,-14.58%,-26.98%,
CBGAX,ClearBridge Global Infrastructure Inc C,14.18+0.15(+1.07%),+0.15,+1.07%,13.57,13.09,+11.44%,+13.52%,+13.62%,
HSGFX,Hussman Strategic Market Cycle Fund,6.62+0.07(+1.07%),+0.07,+1.07%,6.43,5.80,+18.60%,+20.99%,+13.94%,
0P0001L9A0,Old Mutual African Frontiers J Acc,13.26+0.14(+1.07%),+0.14,+1.07%,11.93,11.59,+5.91%,+10.15%,+30.77%,
RGAVX,ClearBridge Global Infrastructure Inc A,14.24+0.15(+1.06%),+0.15,+1.06%,13.62,13.14,+11.68%,+13.76%,+13.65%,
MIJFX,Matthews Japan Instl,21.91+0.23(+1.06%),+0.23,+1.06%,20.62,20.59,+4.28%,+5.53%,+11.22%,
RGSVX,ClearBridge Global Infrastructure Inc IS,14.31+0.15(+1.06%),+0.15,+1.06%,13.68,13.20,+11.80%,+13.97%,+13.66%,
0P0001IT98,Old Mutual African Frontiers D Acc,12.47+0.13(+1.05%),+0.13,+1.05%,11.17,10.87,+6.21%,+10.56%,+32.20%,
PRPCX,PGIM Jennison Energy Infrastructure C,4.8300+0.0500(+1.05%),+0.0500,+1.05%,4.84,6.12,-5.69%,-1.24%,-28.97%,
GCGAX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,15.47+0.16(+1.05%),+0.16,+1.05%,16.64,18.83,--,--,-12.85%,
GGCTX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,16.44+0.17(+1.04%),+0.17,+1.04%,17.61,19.73,--,--,-11.23%,
GACPX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,18.39+0.19(+1.04%),+0.19,+1.04%,19.56,21.56,--,--,-8.64%,
GCGUX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,18.40+0.19(+1.04%),+0.19,+1.04%,19.57,21.56,--,--,-8.59%,
MFTFX,Arrow Managed Futures Strategy A,4.8500+0.0500(+1.04%),+0.0500,+1.04%,5.07,5.52,-14.24%,-8.57%,-26.40%,
GCGCX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,7.77+0.08(+1.04%),+0.08,+1.04%,8.94,11.65,--,--,-32.14%,
GCRIX,Goldman Sachs Trust - Goldman Sachs Concentrated Growth Fund,18.48+0.19(+1.04%),+0.19,+1.04%,19.65,21.64,--,--,-8.51%,
PRPAX,PGIM Jennison Energy Infrastructure A,5.84+0.06(+1.04%),+0.06,+1.04%,5.85,7.10,-5.58%,-0.91%,-23.26%,
FSCJX,Fidelity SAI Canada Equity Index,11.70+0.12(+1.04%),+0.12,+1.04%,10.95,10.79,+3.23%,+5.77%,+15.04%,
PFRCX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.60%,+7.42%,+3.62%,
PFUAX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.78%,+7.68%,+3.62%,
PFUIX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.88%,+7.82%,+3.62%,
PFUNX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.85%,+7.77%,+3.62%,
PFUPX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.86%,+7.79%,+3.62%,
PFUUX,PIMCO International Bond Fund (Unhedged),7.80+0.08(+1.04%),+0.08,+1.04%,7.68,7.59,+6.82%,+7.73%,+3.62%,
FSJPX,Fidelity SAI Japan Stock Index,10.76+0.11(+1.03%),+0.11,+1.03%,10.26,10.18,+4.68%,+6.91%,+6.85%,
PRIKX,T. Rowe Price Real Assets I,14.69+0.15(+1.03%),+0.15,+1.03%,14.39,14.72,+0.42%,+3.90%,+1.17%,
TOLIX,DWS RREEF Global Infrastructure Inst,16.71+0.17(+1.03%),+0.17,+1.03%,16.29,16.09,+12.03%,+10.99%,+12.15%,
TOLSX,DWS RREEF Global Infrastructure S,16.72+0.17(+1.03%),+0.17,+1.03%,16.30,16.10,+12.01%,+10.97%,+12.14%,
HGASX,Hennessy Gas Utility Institutional,28.55+0.29(+1.03%),+0.29,+1.03%,28.28,27.57,+6.22%,+7.37%,+18.96%,
FCGCX,Fidelity Advisor Global Commodity Stk C,18.72+0.19(+1.03%),+0.19,+1.03%,18.06,18.52,-3.78%,-0.34%,-5.65%,
0P0000SUOR,Dynamic Power Global Growth Class Sr IP,26.96+0.27(+1.02%),+0.27,+1.02%,24.09,24.99,--,--,+18.50%,
GASFX,Hennessy Gas Utility Investor,28.63+0.29(+1.02%),+0.29,+1.02%,28.36,27.64,+6.13%,+7.27%,+18.99%,
TOLLX,DWS RREEF Global Infrastructure A,16.80+0.17(+1.02%),+0.17,+1.02%,16.38,16.18,+11.98%,+10.87%,+12.15%,
FIQRX,Fidelity Advisor Global Commodity Stk Z,18.80+0.19(+1.02%),+0.19,+1.02%,18.12,18.63,-3.50%,0.00%,-5.81%,
FFGAX,Fidelity Advisor Global Commodity Stk A,18.81+0.19(+1.02%),+0.19,+1.02%,18.14,18.63,-3.55%,-0.06%,-5.81%,
TRZRX,T. Rowe Price Real Assets Z,14.85+0.15(+1.02%),+0.15,+1.02%,14.54,14.88,+0.55%,+4.15%,+1.23%,
0P0000SUOQ,--,20.95+0.21(+1.02%),+0.21,+1.02%,18.74,19.50,--,--,+17.10%,
MFTNX,Arrow Managed Futures Strategy Instl,4.9600+0.0500(+1.02%),+0.0500,+1.02%,5.18,5.64,-14.10%,-8.39%,-26.30%,
MJFOX,Matthews Japan Investor,21.83+0.22(+1.02%),+0.22,+1.02%,20.55,20.52,+4.29%,+5.49%,+11.21%,
0P0000A2WE,Dynamic Power Global Growth Class,15.12+0.15(+1.02%),+0.15,+1.02%,13.54,14.16,--,--,+15.82%,
DFJSX,DFA Japanese Small Company I,24.91+0.25(+1.01%),+0.25,+1.01%,23.83,23.23,+8.36%,+9.97%,+12.92%,
AIVOX,American Century International Opps A,10.02+0.10(+1.01%),+0.10,+1.01%,9.20,9.24,+1.74%,+3.43%,+7.05%,
VYMUX,Voya Mid Cap Research Enhanced Index P3,18.04+0.18(+1.01%),+0.18,+1.01%,18.04,18.04,-3.11%,-13.44%,0.00%,
AOPAX,Virtus International S/C A,32.19+0.32(+1.00%),+0.32,+1.00%,29.96,29.75,+6.87%,+8.19%,+5.64%,
VLPIX,Virtus Duff & Phelps Sel MLP & Engy I,16.11+0.16(+1.00%),+0.16,+1.00%,16.32,16.22,-4.89%,-2.13%,+20.67%,
AIISX,Virtus International S/C R6,33.25+0.33(+1.00%),+0.33,+1.00%,30.94,30.74,+6.96%,+8.31%,+5.62%,
RYAPX,Rydex Inverse NASDAQ-100 Strategy A,135.07+1.34(+1.00%),+1.34,+1.00%,145.35,144.70,+7.54%,+5.49%,-15.04%,
RYAIX,Rydex Inverse NASDAQ-100 Strategy Inv,142.32+1.41(+1.00%),+1.41,+1.00%,153.11,152.12,+7.59%,+5.57%,-14.60%,
FTPAX,First Trust Private Assets Fund,11.51+0.89(+8.38%),+0.89,+8.38%,10.82,10.82,--,--,+11.53%,
0P0001T9Z1,CSOP Ether ETF Unlisted Share C,6.23+0.28(+4.67%),+0.28,+4.67%,4.70,6.65,-43.65%,-48.37%,-31.09%,
GRHIX,Goehring & Rozencwajg Resources Instl,14.13+0.52(+3.82%),+0.52,+3.82%,12.87,13.11,-2.39%,+0.80%,-5.61%,
GRHAX,Goehring & Rozencwajg Resources Retail,13.93+0.50(+3.72%),+0.50,+3.72%,12.70,12.94,-2.50%,+0.64%,-5.81%,
PMPIX,ProFunds Precious Metals UltraSector Inv,78.73+2.70(+3.55%),+2.70,+3.55%,73.49,61.20,+38.01%,+69.71%,+49.99%,
PMPSX,ProFunds Precious Metals UltraSector Svc,65.45+2.24(+3.54%),+2.24,+3.54%,61.14,50.85,+37.69%,+69.16%,+49.87%,
0P00011WC1,Kieger Fd I Global Real Assets AP1 USD,473.39+15.98(+3.49%),+15.98,+3.49%,443.90,439.78,+11.75%,+11.24%,+13.13%,
OCMAX,OCM Gold Atlas,21.43+0.59(+2.83%),+0.59,+2.83%,19.48,16.82,+28.42%,+46.77%,+51.99%,
FGPMX,Franklin Gold and Precious Metals R6,31.00+0.85(+2.82%),+0.85,+2.82%,28.19,24.48,+31.29%,+50.99%,+41.68%,
OCMGX,OCM Gold Investor,18.62+0.51(+2.82%),+0.51,+2.82%,16.93,14.64,+28.22%,+46.46%,+51.14%,
FKRCX,Franklin Gold and Precious Metals A,27.75+0.76(+2.82%),+0.76,+2.82%,25.25,22.04,+31.18%,+50.87%,+39.94%,
FRGOX,Franklin Gold and Precious Metals C,23.86+0.65(+2.80%),+0.65,+2.80%,21.72,19.10,+30.92%,+50.44%,+37.44%,
FGADX,Franklin Gold and Precious Metals Adv,30.48+0.83(+2.80%),+0.83,+2.80%,27.73,24.09,+31.25%,+51.00%,+41.37%,
GOLDX,Gabelli Gold AAA,30.55+0.83(+2.79%),+0.83,+2.79%,27.96,23.91,+28.16%,+44.42%,+50.27%,
INIIX,VanEck International Investors Gold I,22.47+0.61(+2.79%),+0.61,+2.79%,20.71,17.78,+28.99%,+46.40%,+46.29%,
GLDAX,Gabelli Gold A,30.60+0.83(+2.79%),+0.83,+2.79%,28.01,23.95,+28.15%,+44.46%,+50.29%,
GLDIX,Gabelli Gold I,31.34+0.85(+2.79%),+0.85,+2.79%,28.68,24.53,+28.28%,+44.54%,+50.31%,
GLDCX,Gabelli Gold C,27.37+0.74(+2.78%),+0.74,+2.78%,25.07,21.43,+27.98%,+44.07%,+49.97%,
IIGCX,VanEck International Investors Gold C,12.66+0.34(+2.76%),+0.34,+2.76%,11.68,10.19,+28.65%,+45.92%,+40.67%,
INIYX,VanEck International Investors Gold Y,16.44+0.44(+2.75%),+0.44,+2.75%,15.16,13.13,+28.98%,+46.43%,+43.46%,
INIVX,VanEck International Investors Gold A,15.83+0.42(+2.73%),+0.42,+2.73%,14.60,12.65,+28.79%,+46.25%,+43.13%,
UIPMX,Victory Precious Metals and Minerals Fund,29.63+0.78(+2.70%),+0.78,+2.70%,27.49,23.21,+29.21%,+48.52%,+49.87%,
UPMMX,Victory Precious Metals and Minerals Fund,28.51+0.75(+2.70%),+0.75,+2.70%,26.46,22.36,+29.11%,+48.38%,+49.42%,
USAGX,Victory Precious Metals and Minerals Fund,28.95+0.76(+2.70%),+0.76,+2.70%,26.82,22.66,+29.21%,+48.49%,+49.69%,
EKWYX,Allspring Precious Metals Fund,87.03+2.28(+2.69%),+2.28,+2.69%,80.06,67.36,+29.01%,+46.56%,+58.44%,
